head,relation,tail,source
nobles,see,Church,https://en.wikipedia.org/wiki/University_of_Cambridge
colleges,produce,graduates,https://en.wikipedia.org/wiki/University_of_Cambridge
"the Mathematical Tripos,[27",know,Cambridge,https://en.wikipedia.org/wiki/University_of_Cambridge
Hodge,establish,Cambridge,https://en.wikipedia.org/wiki/University_of_Cambridge
The University of Cambridge,begin,Cambridge,https://en.wikipedia.org/wiki/University_of_Cambridge
Girton College,establish,Emily Davies,https://en.wikipedia.org/wiki/University_of_Cambridge
Emily Davies,establish,Newnham College,https://en.wikipedia.org/wiki/University_of_Cambridge
Newnham College,establish,Anne Clough,https://en.wikipedia.org/wiki/University_of_Cambridge
Anne Clough,establish,Henry Sidgwick,https://en.wikipedia.org/wiki/University_of_Cambridge
Henry Sidgwick,establish,Hughes Hall,https://en.wikipedia.org/wiki/University_of_Cambridge
Hughes Hall,establish,Elizabeth Phillips Hughes,https://en.wikipedia.org/wiki/University_of_Cambridge
Elizabeth Phillips Hughes,establish,the Cambridge Teaching College for Women,https://en.wikipedia.org/wiki/University_of_Cambridge
the Cambridge Teaching College for Women,establish,Murray Edwards College,https://en.wikipedia.org/wiki/University_of_Cambridge
Murray Edwards College,establish,Rosemary Murray,https://en.wikipedia.org/wiki/University_of_Cambridge
Rosemary Murray,establish,Lucy Cavendish College,https://en.wikipedia.org/wiki/University_of_Cambridge
Girton,begin,Lucy Cavendish,https://en.wikipedia.org/wiki/University_of_Cambridge
College,have,some,https://en.wikipedia.org/wiki/University_of_Cambridge
University,include,locations,https://en.wikipedia.org/wiki/University_of_Cambridge
Cambridge,have,colleges,https://en.wikipedia.org/wiki/University_of_Cambridge
Churchill,have,reputation,https://en.wikipedia.org/wiki/University_of_Cambridge
%,study,mathematics,https://en.wikipedia.org/wiki/University_of_Cambridge
colleges,have,focus,https://en.wikipedia.org/wiki/University_of_Cambridge
both,have,reputation,https://en.wikipedia.org/wiki/University_of_Cambridge
university,have,department,https://en.wikipedia.org/wiki/University_of_Cambridge
number,hold,responsibility,https://en.wikipedia.org/wiki/University_of_Cambridge
who,begin,role,https://en.wikipedia.org/wiki/University_of_Cambridge
Cambridge University Council,make,Regent House,https://en.wikipedia.org/wiki/University_of_Cambridge
which,include,range,https://en.wikipedia.org/wiki/University_of_Cambridge
percent,have,impact,https://en.wikipedia.org/wiki/University_of_Cambridge
candidates,have,rates,https://en.wikipedia.org/wiki/University_of_Cambridge
they,have,grades,https://en.wikipedia.org/wiki/University_of_Cambridge
tutor,develop,concept,https://en.wikipedia.org/wiki/University_of_Cambridge
University,have,departments,https://en.wikipedia.org/wiki/University_of_Cambridge
faculty,have,library,https://en.wikipedia.org/wiki/University_of_Cambridge
Library,have,manuscripts,https://en.wikipedia.org/wiki/University_of_Cambridge
Museum,hold,specimens,https://en.wikipedia.org/wiki/University_of_Cambridge
museums,include,Museum,https://en.wikipedia.org/wiki/University_of_Cambridge
university,establish,Syndicate,https://en.wikipedia.org/wiki/University_of_Cambridge
who,win,competition,https://en.wikipedia.org/wiki/University_of_Cambridge
who,develop,composition,https://en.wikipedia.org/wiki/University_of_Cambridge
societies,include,Club,https://en.wikipedia.org/wiki/University_of_Cambridge
The University of Cambridge's,know,Oxford,https://en.wikipedia.org/wiki/University_of_Cambridge
figures,include,Paxman,https://en.wikipedia.org/wiki/University_of_Cambridge
newspaper,feature,writings,https://en.wikipedia.org/wiki/University_of_Cambridge
Varsity,appear,The Guardian,https://en.wikipedia.org/wiki/University_of_Cambridge
The Guardian,appear,The Times,https://en.wikipedia.org/wiki/University_of_Cambridge
The Times,appear,The Sunday Times,https://en.wikipedia.org/wiki/University_of_Cambridge
The Sunday Times,appear,The Daily Telegraph,https://en.wikipedia.org/wiki/University_of_Cambridge
The Daily Telegraph,appear,The Independent,https://en.wikipedia.org/wiki/University_of_Cambridge
The Independent,appear,The i Paper,https://en.wikipedia.org/wiki/University_of_Cambridge
publications,include,Student,https://en.wikipedia.org/wiki/University_of_Cambridge
University of Cambridge,include,Oxford,https://en.wikipedia.org/wiki/University_of_Cambridge
Cambridge,call,the University of Cambridge,https://en.wikipedia.org/wiki/University_of_Cambridge
the University of Cambridge,call,Israel,https://en.wikipedia.org/wiki/University_of_Cambridge
Israel,call,the Gaza Strip,https://en.wikipedia.org/wiki/University_of_Cambridge
Students,write,letter,https://en.wikipedia.org/wiki/University_of_Cambridge
section,include,summary,https://en.wikipedia.org/wiki/University_of_Cambridge
alumni,include,founders,https://en.wikipedia.org/wiki/University_of_Cambridge
John Chadwick,associate,Michael Ventris,https://en.wikipedia.org/wiki/University_of_Cambridge
academics,include,economists,https://en.wikipedia.org/wiki/University_of_Cambridge
philosophers,include,Bacon,https://en.wikipedia.org/wiki/University_of_Cambridge
historians,include,Macaulay,https://en.wikipedia.org/wiki/University_of_Cambridge
alumni,include,Williams,https://en.wikipedia.org/wiki/University_of_Cambridge
university,produce,instrumentalists,https://en.wikipedia.org/wiki/University_of_Cambridge
alumni,include,members,https://en.wikipedia.org/wiki/University_of_Cambridge
Christopher Marlowe,study,University Wits,https://en.wikipedia.org/wiki/University_of_Cambridge
University Wits,study,Thomas Nashe,https://en.wikipedia.org/wiki/University_of_Cambridge
Thomas Nashe,study,Robert Greene,https://en.wikipedia.org/wiki/University_of_Cambridge
Robert Greene,study,England,https://en.wikipedia.org/wiki/University_of_Cambridge
England,study,John Fletcher,https://en.wikipedia.org/wiki/University_of_Cambridge
John Fletcher,study,Shakespeare,https://en.wikipedia.org/wiki/University_of_Cambridge
Shakespeare,study,Henry VIII,https://en.wikipedia.org/wiki/University_of_Cambridge
Henry VIII,study,Cardenio,https://en.wikipedia.org/wiki/University_of_Cambridge
M. R. James,serve,King's College,https://en.wikipedia.org/wiki/University_of_Cambridge
writers,include,Forster,https://en.wikipedia.org/wiki/University_of_Cambridge
Patrick White,follow,J. G. Ballard,https://en.wikipedia.org/wiki/University_of_Cambridge
J. G. Ballard,follow,E. R. Braithwaite,https://en.wikipedia.org/wiki/University_of_Cambridge
alumni,include,writers,https://en.wikipedia.org/wiki/University_of_Cambridge
alumni,include,poets,https://en.wikipedia.org/wiki/University_of_Cambridge
alumni,make,contributions,https://en.wikipedia.org/wiki/University_of_Cambridge
who,attend,University,https://en.wikipedia.org/wiki/University_of_Cambridge
Actors,include,McKellen,https://en.wikipedia.org/wiki/University_of_Cambridge
alumni,include,Bacon,https://en.wikipedia.org/wiki/University_of_Cambridge
who,develop,method,https://en.wikipedia.org/wiki/University_of_Cambridge
who,make,contributions,https://en.wikipedia.org/wiki/University_of_Cambridge
University of Cambridge,include,Charles Darwin,https://en.wikipedia.org/wiki/University_of_Cambridge
Charles Darwin,include,Christ's College,https://en.wikipedia.org/wiki/University_of_Cambridge
Crick,develop,model,https://en.wikipedia.org/wiki/University_of_Cambridge
Wilkins,produce,data,https://en.wikipedia.org/wiki/University_of_Cambridge
Ian Wilmut,know,Dolly the Sheep in 1996),https://en.wikipedia.org/wiki/University_of_Cambridge
Dolly the Sheep in 1996),know,David Attenborough,https://en.wikipedia.org/wiki/University_of_Cambridge
David Attenborough,know,Jane Goodall,https://en.wikipedia.org/wiki/University_of_Cambridge
Jane Goodall,know,Dame Alison Richard,https://en.wikipedia.org/wiki/University_of_Cambridge
Dame Alison Richard,know,Frederick Sanger,https://en.wikipedia.org/wiki/University_of_Cambridge
Frederick Sanger,know,Sanger,https://en.wikipedia.org/wiki/University_of_Cambridge
scientists,include,Stephenson,https://en.wikipedia.org/wiki/University_of_Cambridge
that,develop,bomb,https://en.wikipedia.org/wiki/University_of_Cambridge
alumni,include,Herschel,https://en.wikipedia.org/wiki/University_of_Cambridge
alumni,include,Cavendish,https://en.wikipedia.org/wiki/University_of_Cambridge
who,discover,hydrogen,https://en.wikipedia.org/wiki/University_of_Cambridge
University,have,reputation,https://en.wikipedia.org/wiki/University_of_Cambridge
Cambridge,serve,Stanley Baldwin,https://en.wikipedia.org/wiki/University_of_Cambridge
Stanley Baldwin,serve,India,https://en.wikipedia.org/wiki/University_of_Cambridge
India,serve,Ireland,https://en.wikipedia.org/wiki/University_of_Cambridge
Ireland,serve,Trinidad and Tobago,https://en.wikipedia.org/wiki/University_of_Cambridge
Trinidad and Tobago,serve,Uganda,https://en.wikipedia.org/wiki/University_of_Cambridge
Uganda,serve,South Korea,https://en.wikipedia.org/wiki/University_of_Cambridge
South Korea,serve,Singapore,https://en.wikipedia.org/wiki/University_of_Cambridge
Singapore,serve,Zambia,https://en.wikipedia.org/wiki/University_of_Cambridge
Zambia,serve,Australia,https://en.wikipedia.org/wiki/University_of_Cambridge
Australia,serve,Bahrain,https://en.wikipedia.org/wiki/University_of_Cambridge
Bahrain,serve,Burma,https://en.wikipedia.org/wiki/University_of_Cambridge
Burma,serve,France,https://en.wikipedia.org/wiki/University_of_Cambridge
France,serve,India,https://en.wikipedia.org/wiki/University_of_Cambridge
India,serve,Jordan,https://en.wikipedia.org/wiki/University_of_Cambridge
Jordan,serve,Luxembourg,https://en.wikipedia.org/wiki/University_of_Cambridge
Luxembourg,serve,Malaysia,https://en.wikipedia.org/wiki/University_of_Cambridge
Malaysia,serve,Malta,https://en.wikipedia.org/wiki/University_of_Cambridge
Malta,serve,Thailand,https://en.wikipedia.org/wiki/University_of_Cambridge
Thailand,serve,Pakistan,https://en.wikipedia.org/wiki/University_of_Cambridge
Pakistan,serve,Poland,https://en.wikipedia.org/wiki/University_of_Cambridge
Poland,serve,Singapore,https://en.wikipedia.org/wiki/University_of_Cambridge
Singapore,serve,South Africa,https://en.wikipedia.org/wiki/University_of_Cambridge
South Africa,serve,Sri Lanka,https://en.wikipedia.org/wiki/University_of_Cambridge
Sri Lanka,serve,New Zealand,https://en.wikipedia.org/wiki/University_of_Cambridge
New Zealand,serve,Edward VII,https://en.wikipedia.org/wiki/University_of_Cambridge
Edward VII,serve,George VI,https://en.wikipedia.org/wiki/University_of_Cambridge
George VI,serve,Charles III,https://en.wikipedia.org/wiki/University_of_Cambridge
Charles III,serve,the United Kingdom,https://en.wikipedia.org/wiki/University_of_Cambridge
the United Kingdom,serve,Peter II,https://en.wikipedia.org/wiki/University_of_Cambridge
Peter II,serve,Yugoslavia,https://en.wikipedia.org/wiki/University_of_Cambridge
Yugoslavia,serve,Margrethe II,https://en.wikipedia.org/wiki/University_of_Cambridge
Margrethe II,serve,Denmark,https://en.wikipedia.org/wiki/University_of_Cambridge
Denmark,serve,Sofía,https://en.wikipedia.org/wiki/University_of_Cambridge
Sofía,serve,Spain,https://en.wikipedia.org/wiki/University_of_Cambridge
university,educate,number,https://en.wikipedia.org/wiki/University_of_Cambridge
Alumni,include,Yaping,https://en.wikipedia.org/wiki/University_of_Cambridge
staff,include,scholars,https://en.wikipedia.org/wiki/University_of_Cambridge
University of Cambridge,call,Trinity College.[207,https://en.wikipedia.org/wiki/University_of_Cambridge
Douglas Adams',include,Dirk Gently's,https://en.wikipedia.org/wiki/University_of_Cambridge
Dirk Gently's,include,Rose Macaulay's,https://en.wikipedia.org/wiki/University_of_Cambridge
Rose Macaulay's,include,Tom Sharpe's,https://en.wikipedia.org/wiki/University_of_Cambridge
the University of Cambridge,include,Xu Zhimo's,https://en.wikipedia.org/wiki/University_of_Cambridge
Xu Zhimo's,include,China,https://en.wikipedia.org/wiki/University_of_Cambridge
China,include,the University of Cambridge,https://en.wikipedia.org/wiki/University_of_Cambridge
Psmith,publish,P. G. Wodehouse,https://en.wikipedia.org/wiki/University_of_Cambridge
P. G. Wodehouse,publish,Mike,https://en.wikipedia.org/wiki/University_of_Cambridge
Mike,publish,the University of Cambridge,https://en.wikipedia.org/wiki/University_of_Cambridge
film,feature,Keating,https://en.wikipedia.org/wiki/University_of_Cambridge
King's College of the University of Cambridge,feature,M. R. James.[211][212,https://en.wikipedia.org/wiki/University_of_Cambridge
series,feature,Crane,https://en.wikipedia.org/wiki/University_of_Cambridge
Koothrappali,study,astrophysics,https://en.wikipedia.org/wiki/University_of_Cambridge
Koothrappali,study,law,https://en.wikipedia.org/wiki/University_of_Cambridge
that,feature,Turing,https://en.wikipedia.org/wiki/University_of_Cambridge
Who,know,Infinity,https://en.wikipedia.org/wiki/University_of_Cambridge
film,feature,archaeologists,https://en.wikipedia.org/wiki/University_of_Cambridge
J. Robert Oppenheimer,study,Christ's College,https://en.wikipedia.org/wiki/University_of_Cambridge
"Trinity College
-
",celebrate,"Corpus Christi College
-
",https://en.wikipedia.org/wiki/University_of_Cambridge
"Corpus Christi College
-
",celebrate,Gonville,https://en.wikipedia.org/wiki/University_of_Cambridge
Gonville,celebrate,"Wolfson College
",https://en.wikipedia.org/wiki/University_of_Cambridge
"Wolfson College
",celebrate,"Queen's College
",https://en.wikipedia.org/wiki/University_of_Cambridge
"Queen's College
",celebrate,"Jesus College
",https://en.wikipedia.org/wiki/University_of_Cambridge
"Jesus College
",celebrate,Homerton College,https://en.wikipedia.org/wiki/University_of_Cambridge
Homerton College,celebrate,Sidney Sussex College,https://en.wikipedia.org/wiki/University_of_Cambridge
Sidney Sussex College,celebrate,University of Cambridge,https://en.wikipedia.org/wiki/University_of_Cambridge
University of Cambridge,celebrate,Cambridge University,https://en.wikipedia.org/wiki/University_of_Cambridge
Cambridge University,celebrate,the University of Cambridge,https://en.wikipedia.org/wiki/University_of_Cambridge
the Wayback Machine,archive,Varsity News,https://en.wikipedia.org/wiki/University_of_Cambridge
Woodcock,retrieve,Norman,https://en.wikipedia.org/wiki/University_of_Cambridge
Norman,retrieve,D.,https://en.wikipedia.org/wiki/University_of_Cambridge
Grace,publish,Acta in the Reporter,https://en.wikipedia.org/wiki/University_of_Cambridge
Acta in the Reporter,publish,Results of Ballot,https://en.wikipedia.org/wiki/University_of_Cambridge
the Wayback Machine,archive,University of Cambridge,https://en.wikipedia.org/wiki/University_of_Cambridge
Half,have,students,https://en.wikipedia.org/wiki/University_of_Cambridge
Russell Group,appear,Oxford,https://en.wikipedia.org/wiki/University_of_Cambridge
Oxford,appear,Cambridge,https://en.wikipedia.org/wiki/University_of_Cambridge
Mathew Guest,understand,Kristin Aune,https://en.wikipedia.org/wiki/University_of_Cambridge
Kristin Aune,understand,Sonya Sharma,https://en.wikipedia.org/wiki/University_of_Cambridge
Sonya Sharma,understand,Rob Warner,https://en.wikipedia.org/wiki/University_of_Cambridge
Cambridge,call,Gaza,https://en.wikipedia.org/wiki/University_of_Cambridge
Gaza,call,King's College,https://en.wikipedia.org/wiki/University_of_Cambridge
Downing,elect,Virgo,https://en.wikipedia.org/wiki/University_of_Cambridge
Royal Society,take,Paul Nurse,https://en.wikipedia.org/wiki/Royal_Society
Paul Nurse,take,Adrian Smith,https://en.wikipedia.org/wiki/Royal_Society
the Royal Society of London,describe,Robert Boyle,https://en.wikipedia.org/wiki/Royal_Society
"""Philosophical Society of Oxford",know,John Wilkins,https://en.wikipedia.org/wiki/Royal_Society
John Wilkins,know,Wadham College,https://en.wikipedia.org/wiki/Royal_Society
Wadham College,know,the Bodleian Library.[11,https://en.wikipedia.org/wiki/Royal_Society
the Royal Society.[11,hold,the Montmor Academy,https://en.wikipedia.org/wiki/Royal_Society
the Montmor Academy,hold,England,https://en.wikipedia.org/wiki/Royal_Society
Oldenburg,attend,meeting.[13,https://en.wikipedia.org/wiki/Royal_Society
who,know,Oldenburg,https://en.wikipedia.org/wiki/Royal_Society
meetings,include,experiments,https://en.wikipedia.org/wiki/Royal_Society
he,use,position,https://en.wikipedia.org/wiki/Royal_Society
Bradley,establish,nutation,https://en.wikipedia.org/wiki/Royal_Society
members,include,Wray,https://en.wikipedia.org/wiki/Royal_Society
Birch,have,Martin Folkes,https://en.wikipedia.org/wiki/Royal_Society
Martin Folkes,have,Macclesfield,https://en.wikipedia.org/wiki/Royal_Society
Macclesfield,have,Hardwicke,https://en.wikipedia.org/wiki/Royal_Society
Macclesfield,have,Morton,https://en.wikipedia.org/wiki/Royal_Society
Morton,have,John Pringle,https://en.wikipedia.org/wiki/Royal_Society
South,establish,Committee,https://en.wikipedia.org/wiki/Royal_Society
Council,follow,Marjory Stephenson,https://en.wikipedia.org/wiki/Royal_Society
Marjory Stephenson,follow,Kathleen Lonsdale,https://en.wikipedia.org/wiki/Royal_Society
Kathleen Lonsdale,follow,Mary Cartwright,https://en.wikipedia.org/wiki/Royal_Society
Mary Cartwright,follow,the Royal Society.[49][50][51,https://en.wikipedia.org/wiki/Royal_Society
Cartwright,serve,the Council of the Royal Society.[49,https://en.wikipedia.org/wiki/Royal_Society
group,publish,report,https://en.wikipedia.org/wiki/Royal_Society
who,ask,King,https://en.wikipedia.org/wiki/Royal_Society
society,have,helmet,https://en.wikipedia.org/wiki/Royal_Society
he,use,helmet,https://en.wikipedia.org/wiki/Royal_Society
The King of the United Kingdom,be,The Duke of Kent,https://en.wikipedia.org/wiki/Royal_Society
The Duke of Kent,be,The Princess Royal,https://en.wikipedia.org/wiki/Royal_Society
The Princess Royal,be,The Prince of Wales.[3],https://en.wikipedia.org/wiki/Royal_Society
O'Neill,elect,Bengarve.[62,https://en.wikipedia.org/wiki/Royal_Society
It,publish,reports,https://en.wikipedia.org/wiki/Royal_Society
Journal,publish,research,https://en.wikipedia.org/wiki/Royal_Society
"Focus,[103",publish,issue,https://en.wikipedia.org/wiki/Royal_Society
Royal Institution,appear,Royal Academy of Engineering,https://en.wikipedia.org/wiki/Royal_Society
Royal Academy of Engineering,appear,Neal Stephenson,https://en.wikipedia.org/wiki/Royal_Society
Neal Stephenson,appear,the Royal Society,https://en.wikipedia.org/wiki/Royal_Society
the Royal Society,appear,UK Young Academy,https://en.wikipedia.org/wiki/Royal_Society
David A. Kronick,retrieve,The Library Quarterly,https://en.wikipedia.org/wiki/Royal_Society
The Library Quarterly,retrieve,JOC/EFR:,https://en.wikipedia.org/wiki/Royal_Society
Paul Nurse,elect,the Royal Society,https://en.wikipedia.org/wiki/Royal_Society
the Royal Society,elect,Royal Society,https://en.wikipedia.org/wiki/Royal_Society
Royal Society,elect,royalsociety.org,https://en.wikipedia.org/wiki/Royal_Society
The Royal Society,digitise,BBC Radio 4,https://en.wikipedia.org/wiki/Royal_Society
BBC Radio 4,digitise,Stephen Pumphrey,https://en.wikipedia.org/wiki/Royal_Society
Stephen Pumphrey,digitise,Lisa Jardine,https://en.wikipedia.org/wiki/Royal_Society
Lisa Jardine,digitise,Michael Hunter,https://en.wikipedia.org/wiki/Royal_Society
Michael Hunter,digitise,Royal Society,https://en.wikipedia.org/wiki/Royal_Society
Royal Society,digitise,England,https://en.wikipedia.org/wiki/Royal_Society
England,digitise,the International Council for Science,https://en.wikipedia.org/wiki/Royal_Society
Michael Faraday's,understand,James Clerk Maxwell's,https://en.wikipedia.org/wiki/Classical_electromagnetism
"Wolfgang Pauli,[1",give,"E. T. Whittaker,[2",https://en.wikipedia.org/wiki/Classical_electromagnetism
"E. T. Whittaker,[2",give,"Abraham Pais,[3",https://en.wikipedia.org/wiki/Classical_electromagnetism
"Abraham Pais,[3",give,Bruce J. Hunt.[4,https://en.wikipedia.org/wiki/Classical_electromagnetism
philosophy,have,origins,https://en.wikipedia.org/wiki/Physics
event,have,cause.[14,https://en.wikipedia.org/wiki/Physics
Aristotle,write,Plato,https://en.wikipedia.org/wiki/Physics
Ibn,present,idea,https://en.wikipedia.org/wiki/Physics
Europeans,use,methods,https://en.wikipedia.org/wiki/Physics
developments,include,replacement,https://en.wikipedia.org/wiki/Physics
Max Planck,begin,Albert Einstein's,https://en.wikipedia.org/wiki/Physics
physicists,write,Laplace,https://en.wikipedia.org/wiki/Physics
Roger Penrose,call,"Stephen Hawking,[98",https://en.wikipedia.org/wiki/Physics
"Stephen Hawking,[98",call,Penrose,https://en.wikipedia.org/wiki/Physics
Hilary Putnam,hold,Penelope Maddy,https://en.wikipedia.org/wiki/Physics
Kant,see,Ritter,https://en.wikipedia.org/wiki/Physics
Ritter,see,Ørsted,https://en.wikipedia.org/wiki/Physics
Krzanowski,describe,snowflakes,https://en.wikipedia.org/wiki/Physics
Guicciardini,see,Leibniz,https://en.wikipedia.org/wiki/Physics
Leibniz,see,Newton,https://en.wikipedia.org/wiki/Physics
Moore,retrieve,Leggett,https://en.wikipedia.org/wiki/Physics
Leggett,retrieve,Levy,https://en.wikipedia.org/wiki/Physics
Levy,retrieve,Stajic,https://en.wikipedia.org/wiki/Physics
Stajic,retrieve,Osborne,https://en.wikipedia.org/wiki/Physics
Osborne,retrieve,Mattis,https://en.wikipedia.org/wiki/Physics
Mattis,retrieve,American Physical Society,https://en.wikipedia.org/wiki/Physics
Quanta Magazine,compile,sci.physics,https://en.wikipedia.org/wiki/Physics
sci.physics,compile,the Wayback Machine,https://en.wikipedia.org/wiki/Physics
the Wayback Machine,compile,World of Physics,https://en.wikipedia.org/wiki/Physics
World of Physics,compile,the Wayback Machine,https://en.wikipedia.org/wiki/Physics
the Wayback Machine,compile,Nature Physics,https://en.wikipedia.org/wiki/Physics
Nature Physics,compile,the Wayback Machine,https://en.wikipedia.org/wiki/Physics
the Wayback Machine,compile,the American Physical Society,https://en.wikipedia.org/wiki/Physics
The Vega Science Trust,archive,the Wayback Machine,https://en.wikipedia.org/wiki/Physics
the Wayback Machine,archive,Georgia State University,https://en.wikipedia.org/wiki/Physics
Georgia State University,archive,MIT,https://en.wikipedia.org/wiki/Physics
MIT,archive,the Wayback Machine,https://en.wikipedia.org/wiki/Physics
the Wayback Machine,archive,Massachusetts Institute of Technology,https://en.wikipedia.org/wiki/Physics
Comparison,describe,Weidner,https://en.wikipedia.org/wiki/Classical_physics
laws,give,rise,https://en.wikipedia.org/wiki/Classical_physics
